city_code,name,state,district_code,lat,lon,population,feature_code,absorbed_places
JAG2,Jagādhri,Haryana,071,30.16719,77.30367,124894,PPL,0
DAR2,Dārjiling,West Bengal,327,27.03333,88.26667,123797,PPL,0
HAR2,Hardoī,Uttar Pradesh,155,27.39491,80.13165,122635,PPL,0
PUR3,Puruliya,West Bengal,340,23.33062,86.36303,122533,PPL,0
DHA3,Dharmavaram,Andhra Pradesh,754,14.41435,77.72035,121874,PPL,0
BHA8,Bhadreswar,West Bengal,338,22.82449,88.33841,121662,PPL,0
NAG3,Nagaon,Assam,305,26.35,92.66667,121628,PPLA2,0
VEJ,Vejalpur,Gujarat,484,22.69021,73.56299,121610,PPL,0
CHI3,Chikmagalūr,Karnataka,570,13.32231,75.774,121484,PPL,0
BHA9,Bhadrak,Odisha,378,21.05447,86.5156,121338,PPL,0
SAW,Sawai Madhopur,Rajasthan,108,26.02301,76.34408,121106,PPL,0
AMB4,Ambikāpur,Chhattisgarh,401,23.11892,83.19537,121071,PPLA2,0
SAT2,Satara,Maharashtra,527,17.68589,73.99333,120195,PPL,0
CHU,Chūru,Rajasthan,102,28.30415,74.96718,120157,PPL,0
GAN3,Gangāpur,Rajasthan,108,26.47249,76.71744,120115,PPL,0
DOH,Dohad,Gujarat,485,22.83283,74.25986,118846,PPL,0
BAR5,Barshi,Maharashtra,526,18.23454,75.69275,118722,PPL,0
ADI,Ādilābād,Telangana,532,19.67203,78.5359,118526,PPL,0
JHU,Jhunjhunūn,Rajasthan,103,28.12559,75.39797,118473,PPL,0
JET,Jetpur,Gujarat,476,21.75482,70.62347,118302,PPL,0
GUD,Gudivāda,Andhra Pradesh,547,16.43547,80.99555,118167,PPL,0
BAR6,Bārān,Rajasthan,128,25.1,76.51667,117992,PPL,0
NAR2,Narmadapuram,Madhya Pradesh,449,22.74747,77.72736,117988,PPL,0
AMR4,Amreli,Gujarat,480,21.59983,71.21169,117967,PPLA2,0
PUD2,Pudukkottai,Tamil Nadu,621,10.38128,78.82141,117630,PPL,0
NAR3,Narasaraopet,Andhra Pradesh,751,16.23488,80.04927,117489,PPL,0
RIS,Rishra,West Bengal,338,22.72394,88.34563,117014,PPL,0
BAR7,Baripāda,Odisha,376,21.93458,86.72852,116849,PPL,0
MUK,Muktsar,Punjab,044,30.47426,74.5166,116747,PPL,0
AZA,Azamgarh,Uttar Pradesh,191,26.06832,83.18358,116644,PPLA2,0
BAR8,Barnāla,Punjab,054,30.37451,75.5487,116449,PPL,0
YEL,Yelahanka,Karnataka,572,13.10073,77.59632,116447,PPL,0
CHI4,Chittorgarh,Rajasthan,126,24.88963,74.62403,116406,PPL,0
TIN,Tinsukia,Assam,309,27.48905,95.35992,116322,PPL,0
KHA6,Khargone,Madhya Pradesh,440,21.82292,75.61394,116150,PPL,0
BAI,Baidyabāti,West Bengal,338,22.78498,88.32586,115504,PPL,0
BAS2,Bastī,Uttar Pradesh,185,26.78817,82.71617,115115,PPL,0
GAN4,Gangavati,Karnataka,560,15.4313,76.52933,114642,PPL,0
AMB5,Ambur,Tamil Nadu,732,12.79163,78.71644,114608,PPL,0
GIR,Giridih,Jharkhand,349,24.18622,86.30875,114533,PPL,0
WAR2,Wardha,Maharashtra,504,20.73933,78.59784,113759,PPL,0
TAD,Tadepalligudem,Andhra Pradesh,546,16.81467,81.52717,112655,PPL,0
CHA6,Chanduasi,Uttar Pradesh,659,28.45178,78.78277,112635,PPL,0
BAG,Bagaha,Bihar,203,27.09918,84.09003,112634,PPL,0
ACH,Achalpur,Maharashtra,503,21.25665,77.51006,112311,PPL,0
GON3,Gondal,Gujarat,476,21.96074,70.80255,112197,PPL,0
DHA4,Dharashiv,Maharashtra,525,18.18158,76.03889,112085,PPLA3,0
POR2,Port Blair,Andaman and Nicobar,640,11.66613,92.74635,112050,PPLA,0
BAG2,Bagalkot,Karnataka,556,16.18673,75.69614,111933,PPL,0
SUR3,Suriāpet,Telangana,696,17.14054,79.62045,111729,PPLA2,0
BAN3,Bangaon,West Bengal,337,23.04553,88.83084,111693,PPL,0
ASH,Ashoknagar Kalyangarh,West Bengal,337,22.86416,88.63701,111475,PPL,0
DEE,Deesa,Gujarat,469,24.25612,72.17928,111160,PPLA3,0
NAV3,Navadwīp,West Bengal,336,23.4067,88.36861,111123,PPL,0
NAN4,Nandurbar,Maharashtra,497,21.36671,74.24051,111037,PPL,0
SUL2,Sultānpur,Uttar Pradesh,179,26.25788,82.07269,110368,PPL,0
FIR2,Firozpur,Punjab,043,30.92574,74.61311,110313,PPL,0
PAN5,Pandit Deen Dayal Upadhyaya Nagar,Uttar Pradesh,196,25.28307,83.11968,109650,PPL,0
SEH,Sehore,Madhya Pradesh,445,23.2,77.08333,109118,PPL,0
BAN4,Bānsbāria,West Bengal,338,22.95387,88.40098,108474,PPL,0
TAD2,Tadpatri,Andhra Pradesh,553,14.90832,78.01031,108171,PPL,0
JAL4,Jalpāiguri,West Bengal,328,26.51667,88.73333,107832,PPLA2,0
MAN5,Mangalagiri,Andhra Pradesh,548,16.43083,80.56815,107197,PPL,0
RAN4,Ranebennur,Karnataka,564,14.62239,75.62951,106406,PPL,0
