city_code,observed_on,rain_mm_7d,rain_mm_30d,source
REW,2026-09-05,82.9,441.8,open-meteo-era5
ULU,2026-09-05,158.6,531.0,open-meteo-era5
SIV,2026-09-05,11.6,73.7,open-meteo-era5
KAR3,2026-09-05,7.2,42.4,open-meteo-era5
RAI2,2026-09-05,16.8,104.1,open-meteo-era5
PAL,2026-09-05,18.9,99.1,open-meteo-era5
OOT,2026-09-05,24.4,133.7,open-meteo-era5
PAL2,2026-09-05,0.5,50.3,open-meteo-era5
HOS,2026-09-05,4.3,55.4,open-meteo-era5
VIZ,2026-09-05,42.2,364.5,open-meteo-era5
SHR,2026-09-05,113.5,373.9,open-meteo-era5
QUT,2026-09-05,5.5,50.6,open-meteo-era5
NAD,2026-09-05,9.5,55.6,open-meteo-era5
NAG2,2026-09-05,9.1,73.5,open-meteo-era5
MAN2,2026-09-05,100.3,426.0,open-meteo-era5
MUR,2026-09-05,142.8,638.4,open-meteo-era5
KAN3,2026-09-05,15.3,118.4,open-meteo-era5
SIN,2026-09-05,78.5,366.4,open-meteo-era5
MIR,2026-09-05,90.1,387.9,open-meteo-era5
KHA,2026-09-05,144.6,675.1,open-meteo-era5
ELU,2026-09-05,19.4,106.4,open-meteo-era5
YAM,2026-09-05,20.4,121.1,open-meteo-era5
RAU,2026-09-05,93.9,576.2,open-meteo-era5
BID,2026-09-05,11.1,79.8,open-meteo-era5
MUN,2026-09-05,91.5,225.4,open-meteo-era5
NAN2,2026-09-05,7.6,116.0,open-meteo-era5
PAN3,2026-09-05,36.3,133.5,open-meteo-era5
BUR,2026-09-05,44.3,153.2,open-meteo-era5
MOR2,2026-09-05,5.1,39.5,open-meteo-era5
ANA2,2026-09-05,2.7,41.7,open-meteo-era5
ONG,2026-09-05,9.2,57.0,open-meteo-era5
HOS2,2026-09-05,29.7,105.2,open-meteo-era5
NAN3,2026-09-05,51.5,249.7,open-meteo-era5
SEC,2026-09-05,6.8,42.0,open-meteo-era5
DEO,2026-09-05,129.7,299.6,open-meteo-era5
CHA3,2026-09-05,114.1,274.4,open-meteo-era5
KHA2,2026-09-05,29.7,168.1,open-meteo-era5
PUR2,2026-09-05,84.0,613.7,open-meteo-era5
MOR3,2026-09-05,115.6,315.2,open-meteo-era5
GYA,2026-09-05,102.6,427.0,open-meteo-era5
BUL,2026-09-05,59.2,205.3,open-meteo-era5
BHI4,2026-09-05,87.1,356.5,open-meteo-era5
KHA3,2026-09-05,10.0,65.7,open-meteo-era5
SAM,2026-09-05,89.4,248.8,open-meteo-era5
BHI5,2026-09-05,8.9,108.9,open-meteo-era5
PAN4,2026-09-05,49.1,314.5,open-meteo-era5
AMB3,2026-09-05,16.0,128.9,open-meteo-era5
KUM,2026-09-05,7.6,65.7,open-meteo-era5
MAC,2026-09-05,21.3,78.4,open-meteo-era5
MAH2,2026-09-05,2.7,31.1,open-meteo-era5
MAH3,2026-09-05,11.1,79.6,open-meteo-era5
SAM2,2026-09-05,69.0,567.0,open-meteo-era5
BHU2,2026-09-05,10.1,95.6,open-meteo-era5
RAE,2026-09-05,130.9,454.5,open-meteo-era5
HAR,2026-09-05,66.8,237.6,open-meteo-era5
PHU,2026-09-05,155.8,412.6,open-meteo-era5
ADO,2026-09-05,19.0,92.9,open-meteo-era5
SUJ,2026-09-05,3.9,46.0,open-meteo-era5
SIR,2026-09-05,3.1,83.3,open-meteo-era5
DIN2,2026-09-05,109.9,262.5,open-meteo-era5
BAH,2026-09-05,69.8,302.7,open-meteo-era5
KAR4,2026-09-05,4.7,43.7,open-meteo-era5
SUL,2026-09-05,52.5,260.2,open-meteo-era5
GUN3,2026-09-05,93.7,359.9,open-meteo-era5
CHA4,2026-09-05,138.0,358.3,open-meteo-era5
BAH2,2026-09-05,138.4,287.1,open-meteo-era5
SHA2,2026-09-05,38.2,228.4,open-meteo-era5
MAD2,2026-09-05,7.8,40.8,open-meteo-era5
SHI3,2026-09-05,126.5,311.7,open-meteo-era5
SUR2,2026-09-05,2.1,26.4,open-meteo-era5
NEY,2026-09-05,42.2,144.1,open-meteo-era5
SIL2,2026-09-05,168.1,594.0,open-meteo-era5
PRO,2026-09-05,10.7,82.0,open-meteo-era5
HUG,2026-09-05,138.0,358.3,open-meteo-era5
HAS,2026-09-05,51.5,249.7,open-meteo-era5
AMR3,2026-09-05,102.6,252.8,open-meteo-era5
CHH,2026-09-05,37.5,193.3,open-meteo-era5
TAM,2026-09-05,14.0,95.9,open-meteo-era5
BHE,2026-09-05,122.6,450.6,open-meteo-era5
PAT3,2026-09-05,34.4,199.4,open-meteo-era5
BAD,2026-09-05,50.5,314.1,open-meteo-era5
CUD,2026-09-05,32.8,153.3,open-meteo-era5
SHI4,2026-09-05,61.0,179.9,open-meteo-era5
